FID,NAME,TYPE,HEIGHT,SHAPE_Leng,SHAPE_Area,ORIG_FID
0,测绘科技大厦, ,0,113.296906715000010,560.081980895000020,1.000000000000000
1,测绘科技大厦, ,0,113.296906715000010,560.081980895000020,1.000000000000000
2,测绘科技大厦, ,0,113.296906715000010,560.081980895000020,1.000000000000000
3,测绘科技大厦, ,0,113.296906715000010,560.081980895000020,1.000000000000000
4,测绘科技大厦, ,0,113.296906715000010,560.081980895000020,1.000000000000000
5,学生宿舍10舍, ,0,175.692389889999990,935.927801338999980,2.000000000000000
6,学生宿舍10舍, ,0,175.692389889999990,935.927801338999980,2.000000000000000
7,学生宿舍10舍, ,0,175.692389889999990,935.927801338999980,2.000000000000000
8,学生宿舍10舍, ,0,175.692389889999990,935.927801338999980,2.000000000000000
9,学生宿舍10舍, ,0,175.692389889999990,935.927801338999980,2.000000000000000
10,武汉大学地理信息系统教育部重点实, ,0,209.723965472999990,1530.954838919999900,3.000000000000000
11,武汉大学地理信息系统教育部重点实, ,0,209.723965472999990,1530.954838919999900,3.000000000000000
12,武汉大学地理信息系统教育部重点实, ,0,209.723965472999990,1530.954838919999900,3.000000000000000
13,武汉大学地理信息系统教育部重点实, ,0,209.723965472999990,1530.954838919999900,3.000000000000000
14,武汉大学地理信息系统教育部重点实, ,0,209.723965472999990,1530.954838919999900,3.000000000000000
15,武汉大学地理信息系统教育部重点实, ,0,209.723965472999990,1530.954838919999900,3.000000000000000
16,武汉大学地理信息系统教育部重点实, ,0,209.723965472999990,1530.954838919999900,3.000000000000000
17,君宜王朝大饭店, ,0,356.050159885000030,5235.916358399999800,4.000000000000000
18,君宜王朝大饭店, ,0,356.050159885000030,5235.916358399999800,4.000000000000000
19,君宜王朝大饭店, ,0,356.050159885000030,5235.916358399999800,4.000000000000000
20,君宜王朝大饭店, ,0,356.050159885000030,5235.916358399999800,4.000000000000000
21,君宜王朝大饭店, ,0,356.050159885000030,5235.916358399999800,4.000000000000000
22,君宜王朝大饭店, ,0,356.050159885000030,5235.916358399999800,4.000000000000000
23,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
24,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
25,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
26,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
27,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
28,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
29,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
30,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
31,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
32,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
33,学生宿舍7、8、9舍, ,0,612.642048435999980,4543.175575489999600,5.000000000000000
34,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
35,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
36,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
37,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
38,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
39,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
40,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
41,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
42,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
43,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
44,5号楼, ,0,268.174922625000020,1929.961361960000000,6.000000000000000
45,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
46,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
47,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
48,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
49,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
50,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
51,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
52,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
53,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
54,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
55,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
56,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
57,学生活动中心, ,0,255.429635056000000,3407.486886109999900,7.000000000000000
58,信息学部体育馆, ,0,201.098212649999990,1695.520456929999900,8.000000000000000
59,信息学部体育馆, ,0,201.098212649999990,1695.520456929999900,8.000000000000000
60,信息学部体育馆, ,0,201.098212649999990,1695.520456929999900,8.000000000000000
61,信息学部体育馆, ,0,201.098212649999990,1695.520456929999900,8.000000000000000
62,信息学部体育馆, ,0,201.098212649999990,1695.520456929999900,8.000000000000000
63,信息学部体育馆, ,0,201.098212649999990,1695.520456929999900,8.000000000000000
64,信息学部体育馆, ,0,201.098212649999990,1695.520456929999900,8.000000000000000
65,信息学部体育馆, ,0,201.098212649999990,1695.520456929999900,8.000000000000000
66,信息学部体育馆, ,0,201.098212649999990,1695.520456929999900,8.000000000000000
67,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
68,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
69,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
70,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
71,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
72,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
73,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
74,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
75,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
76,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
77,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
78,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
79,测绘遥感国家重点实验室, ,0,189.982528406000000,1728.164342739999900,9.000000000000000
80,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
81,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
82,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
83,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
84,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
85,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
86,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
87,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
88,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
89,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
90,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
91,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
92,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
93,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
94,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
95,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
96,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
97,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
98,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
99,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
100,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
101,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
102,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
103,学生二食堂, ,0,383.244787416000010,6053.547420640000400,10.000000000000000
