OBJECTID,NAME,TYPE,HEIGHT,SHAPE_Length,SHAPE_Area
1,,,0,113.296906714625150,560.081980894832670
2,,,0,175.692389890327950,935.927801339191320
3,,,0,209.723965472934510,1530.954838915196700
4,,,0,356.050159885082850,5235.916358399772400
5,,,0,612.642048436023400,4543.175575486371600
6,,,0,1383.707127091460100,10950.515655320465000
7,,,0,255.429635056221570,3407.486886109198600
8,,,0,201.098212649643070,1695.520456931765900
9,,,0,189.982528405965550,1728.164342740584700
10,,,0,383.244787416256940,6053.547420639836700
11,,,0,83.535785936083073,428.041953586476380
12,,,0,80.276220472150285,369.645647276310230
13,,,0,75.443612263512208,350.441230644346320
14,,,0,106.975327175242480,531.837977033246600
15,,,0,79.989146519234026,319.899511057860370
16,,,0,145.242719549567790,805.725181060002570
17,,,0,241.023498205713930,1334.268095318564500
18,,,0,120.381226262724950,574.702487860777300
19,,,0,115.624391478993770,610.022465544539390
20,,,0,116.042840140688210,622.945786945966350
21,,,0,111.371488951231340,539.305873908013610
22,,,6,144.768754200608410,806.128305191903680
23,,,2,202.684976273469460,2539.726081815909300
24,,,6,145.520800001919270,787.545520847938750
25,,,7,154.504198591244800,937.288509077319990
26,,,7,166.886756999652050,1169.697539832218400
27,,,7,165.170748732860350,1128.870078209516100
28,,,6,148.272800000384450,873.016948788413630
29,,,0,83.608600001782179,282.259457944666560
30,,,0,128.135838210317670,414.171887066276780
31,,,2,162.073823092090810,776.455373713534410
32,,,1,97.106554866863732,282.784457375430010
33,,,1,46.831600002944469,121.844635669725730
34,,,1,54.599067084616124,175.630746246405100
35,,,1,97.782527789940033,514.753609869754200
36,,,0,254.478686451040770,3176.563317109307700
37,,,0,139.281547182674900,707.863625329511250
38,,,0,94.640371687569683,424.975287944830090
39,,,0,95.914830214690099,421.698221948457730
40,,,0,91.428128364918734,269.960485864475460
41,,,0,58.738815178084593,181.954820202512740
42,,,0,41.909800000488758,109.550144442276600
43,,,0,144.760118120908030,664.040755089074080
44,,,0,91.276656752837297,426.204825803661660
45,,,0,74.881544016312873,320.306993068810020
46,,,4,198.323753025703100,1360.409940191001600
47,,,3,128.900353887472080,599.043139850160970
48,,,3,53.975200001150370,159.401232195987260
49,,,2,50.382875460444183,149.270810318389810
50,,,2,61.116665724117070,230.251110386667930
51,,,2,53.871664805220931,179.983261432016660
52,,,2,57.351578030919107,204.771277649509700
53,,,2,169.775088812562330,1712.679106268436000
54,,,0,116.074088678427740,675.538503954737390
55,,,0,96.956165167237884,364.875570388182210
56,,,0,78.223788217385419,366.210381875669610
57,,,0,50.486001864922272,125.705338078936780
58,,,0,50.056878556616432,123.156275552710580
59,,,0,50.058408247397054,121.785617906174470
60,,,0,91.033790903194117,311.782785894463020
61,,,0,90.412467735829182,314.742541968467440
62,,,0,138.464850019666220,519.678367414492530
63,,,3,141.504983124410360,746.999545793842460
64,,,7,136.332801305628920,794.704371661322280
65,,,0,146.118980296142440,891.177392985408690
66,,,0,121.084051292719440,657.574153112509860
67,,,0,109.884087230828440,393.670687864563550
68,,,0,116.184990848087780,522.410803328407950
70,,,0,126.225203255357200,728.924688922855580
71,,,0,110.333507468176460,565.776896363337760
72,,,0,114.327696312470210,522.940573172758950
73,,,0,111.770731589387480,486.917459373458880
74,,,0,113.444274771742490,538.620018750311030
75,,,0,131.371914315823740,557.448618607458230
76,,,0,115.887599999085070,591.538386312165240
77,,,0,121.708600001409650,661.035100357715580
78,,,0,113.246153684700270,521.495074975384910
79,,,0,155.099118116901020,1049.252669649607500
80,,,0,157.960157131106430,904.203232371630860
81,,,6,137.795399999246000,872.471419181122200
82,,,6,117.475000003352760,622.950349207846100
83,,,3,102.658400001004340,508.618090918440030
84,,,3,112.217488900888360,523.370797305599130
85,,,2,67.216014123609440,273.232618842496660
86,,,0,164.718008525560090,1439.802952222257800
87,,,0,204.149808788021200,1350.684478142904700
88,,,0,91.977439595211848,542.903194695913950
