OBJECTID,R_name,R_num,R_type,SHAPE_Leng,Shape_Length
1,求是二路,2,主干道,87.512468208900003,87.512468208892628
2,求是一路,1,主干道,210.231945680000000,210.231945680168790
3,新疆路,3,主干道,139.308015737000010,139.308015736703740
4,回归路,4,主干道,171.018399835999990,171.015722489794880
5,回归路,4,主干道,66.629035475600006,66.629035475560968
6,北京路,5,主干道,58.229201599900001,58.229201599947956
7,陕西路,6,主干道,90.522320629600003,90.522320629625554
8,星湖南路,7,主干道,121.883403191000000,121.883403191420370
9,星湖三路,8,主干道,196.199861360000000,196.199861359836290
10,星湖三路,8,主干道,290.652783689999980,290.652783689703030
11,星湖二路,9,主干道,202.319467602999990,202.319467603116980
12,星湖一路,10,主干道,105.441684744000000,105.441684744330420
13,星湖路,11,主干道,260.193440092000000,260.193440091833680
14,求是大道,11,主干道,84.824418675000004,84.824418675010421
15,湖北路,12,主干道,40.902955913400000,40.902955913437197
16,友谊大道,13,主干道,103.523021506000010,103.523021506493110
17,遥感小路,1,小路,96.517201889500001,96.517201889523406
18,印包小路,2,小路,44.543656109600001,44.543656109608975
19,二食堂小路,3,小路,101.595647224000000,101.595647223643060
20,竹林小路,4,小路,116.955373535000010,116.955373534826950
21,竹林二路,4,小路,145.318841932999990,145.318841932969520
22,国重小路,5,小路,86.506041926199998,86.506041926205739
23,出版社小路,7,小路,88.739888938700005,88.739888938685368
24,毕生路,14,主干道,63.555091729700003,63.555091729682403
25,广东路,15,主干道,154.258535282999990,154.258535283193170
26,广东路,15,主干道,16.793750940700001,16.793750940650078
27,广东路,15,主干道,31.354187664800001,31.354187664789169
28,广东路,15,主干道,10.614754805000000,10.614754805010225
29, ,6,小路,243.282757866000000,243.282757866391140
30, ,8,小路,66.613093414700003,66.613093414749954
31, ,9,小路,92.834726430499998,92.834726430480259
32, ,10,小路,68.350375126399996,68.350375126399953
33, ,11,小路,80.644507534200002,80.644507534231153
34, ,12,小路,45.036387557200001,45.036387557244815
35, ,12,小路,127.419116475000000,127.419116475323650
36, ,13,小路,17.439966042199998,17.439966042235035
37, ,13,小路,79.388470725900007,79.388470725914772
38, ,13,小路,79.837248810000006,79.837248809954161
39, ,13,小路,58.581462230200003,58.581462230228240
40, ,13,小路,41.319074114599999,41.319074114625238
41, ,13,小路,21.136591609700002,21.136591609735358
42, ,13,小路,24.800084525199999,24.800084525151519
43, ,13,小路,77.570596652000006,77.484227083495185
44, ,13,小路,48.207953009199997,48.151137545480871
45, ,13,小路,3.839853326990000,3.839853326993911
46, ,13,小路,51.897616045800000,51.835744746595978
47, ,13,小路,18.908472652699999,18.908472652733245
48,毕生路,14,主干道,45.243899999200003,45.243899999186397
49,星湖大桥,1,桥,70.903201599200003,70.903201599231238
50, ,14,小路,102.745707642000000,102.745707641715310
51, ,14,小路,43.302259756200002,43.302259756238470
52, ,14,小路,91.477354350200002,91.477354350207264
53, ,14,小路,107.327286297000000,107.327286296670000
54, ,14,小路,25.106580545800000,25.106580545816541
55, ,14,小路,186.532594246000000,186.532594246058150
56, ,14,小路,39.257547971400001,39.257547971446833
57, ,14,小路,100.773934298000000,100.773934298246520
58, ,14,小路,74.656052724700004,74.656052724682226
59, ,14,小路,21.273191965500001,21.273191965509685
60, ,14,小路,120.815672917000000,120.815672917322940
61, ,14,小路,77.784656065199997,77.784656065222805
62, ,14,小路,30.027364462100000,30.027364462146362
63, ,14,小路,190.422179054999990,190.422179055297990
64, ,14,小路,26.000678511200000,26.000678511191516
65, ,14,小路,31.661519126900000,31.661519126886112
66, ,14,小路,126.659733398000000,126.659733397640110
67, ,14,小路,47.849622113899997,47.849622113935432
68, ,14,小路,268.711375764000020,268.711375763986440
69, ,14,小路,77.682171539099997,77.682171539118698
70, ,14,小路,42.323223928399997,42.323223928379377
71, ,14,小路,45.770139967900000,45.770139967894117
72, ,14,小路,71.441523869500003,71.441523869451530
73, ,14,小路,42.789007671800000,42.789007671793563
74, ,14,小路,161.106401938000000,161.106401938283570
75, ,14,小路,17.065157713900000,17.065157713921629
76, ,14,小路,38.364603959400000,38.364603959399403
77, ,14,小路,12.589102356200000,12.589102356194482
78, ,14,小路,71.741663299400003,71.741663299407080
79, ,14,小路,21.557146745000001,21.557146744992806
80, ,14,小路,143.036955083000010,143.036955083142830
81, ,14,小路,266.533223275000010,266.533223275239380
82, ,14,小路,259.290676628000030,259.290676627834330
83, ,14,小路,24.278188973799999,24.278188973785930
84, ,14,小路,270.373816268999970,270.373816269203470
85, ,14,小路,177.184817352000010,177.184817351983160
86, ,14,小路,115.117704841999990,115.117704842145560
87, ,14,小路,58.472254644899998,58.472254644908368
88,物探路,15,主干道,215.376866373000010,215.376866372985800
89,玉兰路,16,主干道,494.489182680999990,494.489182681090090
90,玉兰路,16,主干道,83.432148755100002,83.432148755106738
91, ,15,小路,57.267820632300001,57.267820632261937
92, ,15,小路,26.703141304300001,26.703141304255997
93,珞珈山路,16,主干道,280.572017352999980,280.572017353041700
94,珞喻路,17,主干道,468.790545364000020,468.790545364211250
95, ,17,小路,85.108581134299996,85.108581134282645
